iter	Passed	Remaining
835	1044	204
836	1046	203
837	1047	202
838	1048	201
839	1049	199
840	1050	198
841	1051	197
842	1052	195
843	1053	194
844	1054	193
845	1055	192
846	1056	190
847	1057	189
848	1058	188
849	1059	186
850	1060	185
851	1062	184
852	1063	183
853	1064	182
854	1066	180
855	1067	179
856	1068	178
857	1069	176
858	1070	175
859	1071	174
860	1072	173
861	1073	171
862	1074	170
863	1075	169
864	1077	168
865	1078	166
866	1079	165
867	1080	164
868	1081	163
869	1082	161
870	1083	160
871	1084	159
872	1085	157
873	1086	156
874	1088	155
875	1089	154
876	1090	152
877	1091	151
878	1092	150
879	1094	149
880	1095	147
881	1096	146
882	1098	145
883	1099	144
884	1100	143
885	1101	141
886	1103	140
887	1104	139
888	1105	138
889	1106	136
890	1108	135
891	1109	134
892	1110	133
893	1111	131
894	1112	130
895	1113	129
896	1114	127
897	1115	126
898	1116	125
899	1118	124
900	1119	122
901	1120	121
902	1121	120
903	1123	119
904	1124	118
905	1125	116
906	1126	115
907	1127	114
908	1128	112
909	1129	111
910	1130	110
911	1131	109
912	1132	107
913	1133	106
914	1134	105
915	1135	104
916	1137	102
917	1138	101
918	1139	100
919	1140	99
920	1141	97
921	1142	96
922	1143	95
923	1144	94
924	1145	92
925	1146	91
926	1148	90
927	1149	89
928	1150	87
929	1152	86
930	1153	85
931	1155	84
932	1156	83
933	1157	81
934	1158	80
935	1159	79
936	1160	78
937	1161	76
938	1162	75
939	1163	74
940	1165	73
941	1166	71
942	1167	70
943	1168	69
944	1169	68
945	1170	66
946	1171	65
947	1173	64
948	1174	63
949	1175	61
950	1175	60
951	1176	59
952	1178	58
953	1179	56
954	1180	55
955	1181	54
956	1183	53
957	1184	51
958	1185	50
959	1186	49
960	1187	48
961	1188	46
962	1189	45
963	1190	44
964	1191	43
965	1192	41
966	1193	40
967	1194	39
968	1195	38
969	1196	37
970	1197	35
971	1198	34
972	1199	33
973	1200	32
974	1201	30
975	1202	29
976	1203	28
977	1204	27
978	1205	25
979	1206	24
980	1207	23
981	1208	22
982	1210	20
983	1211	19
984	1212	18
985	1213	17
986	1214	15
987	1215	14
988	1216	13
989	1217	12
990	1218	11
991	1219	9
992	1220	8
993	1221	7
994	1222	6
995	1223	4
996	1224	3
997	1226	2
998	1227	1
999	1228	0
